          Evm          Svm          E11          E22          E33          E23          E13          E12        SCAU11       SCAU22       SCAU33       SCAU23       SCAU13       SCAU12  TEMP          EE11         EE22         EE33         EE23         EE13         EE12         EP11         EP22         EP33         EP23         EP13         EP12        ETR11        ETR22        ETR33        ETR23        ETR13        ETR12           L11          L12          L13          L21          L22          L23          L31          L32          L33        tincr        press          <p>
  0.39156E-02  0.16965E+03  0.44000E-02 -0.23928E-02 -0.17540E-02 -0.82512E-12  0.39536E-11  0.23232E-11   0.16965E+03  0.61533E-11  0.27853E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99536E-03 -0.30741E-03 -0.26466E-03 -0.32499E-12  0.21595E-12 -0.61193E-13  0.34046E-02 -0.20089E-02 -0.13957E-02 -0.71687E-12  0.39551E-11  0.23844E-11  0.41408E-03 -0.10811E-03 -0.91730E-04 -0.47713E-11  0.89984E-11 -0.39623E-13   0.10000E-02  0.12354E-11  0.21587E-11  0.00000E+00 -0.58887E-03  0.35876E-13  0.00000E+00  0.00000E+00 -0.40849E-03  0.20000E+00  0.56552E+02  0.56554E+02
  0.41154E-02  0.16993E+03  0.46000E-02 -0.25106E-02 -0.18357E-02 -0.82157E-12  0.41688E-11  0.24463E-11   0.16993E+03  0.64446E-11  0.28990E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99660E-03 -0.30779E-03 -0.26499E-03 -0.32499E-12  0.21561E-12 -0.61385E-13  0.36034E-02 -0.21263E-02 -0.14771E-02 -0.71332E-12  0.41707E-11  0.25076E-11  0.41474E-03 -0.10852E-03 -0.91978E-04 -0.47716E-11  0.89918E-11 -0.42364E-13   0.10000E-02  0.12251E-11  0.21460E-11  0.00000E+00 -0.58879E-03  0.35216E-13  0.00000E+00  0.00000E+00 -0.40847E-03  0.20000E+00  0.56643E+02  0.56645E+02
  0.43152E-02  0.17021E+03  0.48000E-02 -0.26283E-02 -0.19174E-02 -0.81808E-12  0.43828E-11  0.25683E-11   0.17021E+03  0.67359E-11  0.30482E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99789E-03 -0.30819E-03 -0.26533E-03 -0.32499E-12  0.21525E-12 -0.61583E-13  0.38021E-02 -0.22437E-02 -0.15584E-02 -0.70983E-12  0.43850E-11  0.26299E-11  0.41532E-03 -0.10888E-03 -0.92193E-04 -0.47718E-11  0.89853E-11 -0.45063E-13   0.10000E-02  0.12157E-11  0.21345E-11  0.00000E+00 -0.58872E-03  0.34563E-13  0.00000E+00  0.00000E+00 -0.40845E-03  0.20000E+00  0.56738E+02  0.56740E+02
  0.45151E-02  0.17050E+03  0.50000E-02 -0.27461E-02 -0.19991E-02 -0.81465E-12  0.45957E-11  0.26894E-11   0.17050E+03  0.70628E-11  0.31548E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.99922E-03 -0.30860E-03 -0.26569E-03 -0.32499E-12  0.21488E-12 -0.61788E-13  0.40008E-02 -0.23610E-02 -0.16398E-02 -0.70641E-12  0.45983E-11  0.27512E-11  0.41582E-03 -0.10920E-03 -0.92381E-04 -0.47721E-11  0.89788E-11 -0.47719E-13   0.10000E-02  0.12069E-11  0.21241E-11  0.00000E+00 -0.58865E-03  0.33921E-13  0.00000E+00  0.00000E+00 -0.40845E-03  0.20000E+00  0.56835E+02  0.56837E+02
  0.47149E-02  0.17080E+03  0.52000E-02 -0.28638E-02 -0.20808E-02 -0.81129E-12  0.48076E-11  0.28097E-11   0.17080E+03  0.73683E-11  0.33111E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10006E-02 -0.30902E-03 -0.26605E-03 -0.32499E-12  0.21450E-12 -0.61999E-13  0.41994E-02 -0.24783E-02 -0.17211E-02 -0.70305E-12  0.48106E-11  0.28717E-11  0.41627E-03 -0.10948E-03 -0.92544E-04 -0.47723E-11  0.89724E-11 -0.50330E-13   0.10000E-02  0.11989E-11  0.21145E-11  0.00000E+00 -0.58858E-03  0.33292E-13  0.00000E+00  0.00000E+00 -0.40845E-03  0.20000E+00  0.56934E+02  0.56937E+02
  0.49147E-02  0.17111E+03  0.54000E-02 -0.29815E-02 -0.21625E-02 -0.80800E-12  0.50186E-11  0.29292E-11   0.17111E+03  0.76810E-11  0.34674E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10020E-02 -0.30945E-03 -0.26642E-03 -0.32499E-12  0.21411E-12 -0.62214E-13  0.43980E-02 -0.25956E-02 -0.18024E-02 -0.69975E-12  0.50220E-11  0.29914E-11  0.41666E-03 -0.10973E-03 -0.92687E-04 -0.47725E-11  0.89661E-11 -0.52895E-13   0.10000E-02  0.11915E-11  0.21056E-11  0.00000E+00 -0.58851E-03  0.32677E-13  0.00000E+00  0.00000E+00 -0.40846E-03  0.20000E+00  0.57035E+02  0.57038E+02
  0.51145E-02  0.17141E+03  0.56000E-02 -0.30992E-02 -0.22442E-02 -0.80476E-12  0.52287E-11  0.30480E-11   0.17141E+03  0.80078E-11  0.35740E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10034E-02 -0.30989E-03 -0.26680E-03 -0.32499E-12  0.21372E-12 -0.62433E-13  0.45966E-02 -0.27129E-02 -0.18837E-02 -0.69651E-12  0.52325E-11  0.31104E-11  0.41701E-03 -0.10995E-03 -0.92812E-04 -0.47727E-11  0.89597E-11 -0.55414E-13   0.10000E-02  0.11846E-11  0.20973E-11  0.00000E+00 -0.58845E-03  0.32078E-13  0.00000E+00  0.00000E+00 -0.40847E-03  0.20000E+00  0.57138E+02  0.57141E+02
  0.53143E-02  0.17173E+03  0.58000E-02 -0.32169E-02 -0.23258E-02 -0.80158E-12  0.54380E-11  0.31661E-11   0.17173E+03  0.82849E-11  0.37161E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10049E-02 -0.31034E-03 -0.26718E-03 -0.32499E-12  0.21332E-12 -0.62655E-13  0.47951E-02 -0.28301E-02 -0.19650E-02 -0.69333E-12  0.54422E-11  0.32287E-11  0.41731E-03 -0.11015E-03 -0.92922E-04 -0.47729E-11  0.89535E-11 -0.57889E-13   0.10000E-02  0.11783E-11  0.20895E-11  0.00000E+00 -0.58839E-03  0.31493E-13  0.00000E+00  0.00000E+00 -0.40849E-03  0.20000E+00  0.57242E+02  0.57245E+02
  0.55141E-02  0.17204E+03  0.60000E-02 -0.33346E-02 -0.24075E-02 -0.79846E-12  0.56466E-11  0.32836E-11   0.17204E+03  0.85905E-11  0.38796E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10063E-02 -0.31079E-03 -0.26757E-03 -0.32499E-12  0.21291E-12 -0.62880E-13  0.49937E-02 -0.29474E-02 -0.20463E-02 -0.69021E-12  0.56512E-11  0.33465E-11  0.41759E-03 -0.11033E-03 -0.93018E-04 -0.47731E-11  0.89473E-11 -0.60318E-13   0.10000E-02  0.11724E-11  0.20821E-11  0.00000E+00 -0.58834E-03  0.30924E-13  0.00000E+00  0.00000E+00 -0.40852E-03  0.20000E+00  0.57347E+02  0.57350E+02
  0.57138E-02  0.17236E+03  0.62000E-02 -0.34523E-02 -0.24892E-02 -0.79539E-12  0.58545E-11  0.34006E-11   0.17236E+03  0.89031E-11  0.40430E-11  0.00000E+00  0.00000E+00  0.00000E+00 298.0   0.10078E-02 -0.31125E-03 -0.26797E-03 -0.32499E-12  0.21250E-12 -0.63107E-13  0.51922E-02 -0.30646E-02 -0.21276E-02 -0.68715E-12  0.58595E-11  0.34637E-11  0.41783E-03 -0.11049E-03 -0.93102E-04 -0.47733E-11  0.89412E-11 -0.62702E-13   0.10000E-02  0.11670E-11  0.20751E-11  0.00000E+00 -0.58828E-03  0.30369E-13  0.00000E+00  0.00000E+00 -0.40854E-03  0.20000E+00  0.57453E+02  0.57456E+02
